        序号        点名        点名        点名                挖方体积                填方体积                 总体积
  128   83   61   60            112.1957            334.7579            446.9536
  129   84   83   59            -66.4520           -180.6831           -247.1351
  130   85   84   59           -164.6605           -560.1391           -724.7996
  131   90   89   88              0.0000             34.5233             34.5233
  132   92   72   71              0.0000            356.0668            356.0668
  133   93   70   69              0.0000            537.3797            537.3797
  134   93   92   71              0.0000            326.3889            326.3889
  135   93   71   70              0.0000            498.3900            498.3900
  136   94   93   69              0.0000            332.6907            332.6907
  137   94   69   80              0.0000            602.0551            602.0551
  138   95   81   82             99.7772            121.9094            221.6866
  139   95   91   92              0.0000            179.3071            179.3071
  140   95   92   93              0.0000            137.4397            137.4397
  141   95   93   94              0.0000             50.8771             50.8771
  142   96   95   94              0.0000             57.5400             57.5400
  143   96   94   80              0.0000             43.6957             43.6957
  144   96   80   81              0.0000             55.9534             55.9534
  145   96   81   95              0.0000             77.9892             77.9892
  146   97   95   82           -171.9010            -18.5491           -190.4501
  147   97   90   91             64.4641              1.2869             65.7510
  148   97   91   95           3365.7170            285.6154           3651.3324
  149   98   97   82            245.1290              0.0000            245.1290
  150   98   82   83            218.8506              0.0000            218.8506
  151   98   89   90            463.8493             15.0961            478.9453
  152   98   90   97             19.4646             -0.0337             19.4309
  153   99   86   87            160.0123              0.0000            160.0123
  154   99   87   88           -526.6557            -33.3913           -560.0470
  155   99   88   89            453.1942             30.0020            483.1962
  156   99   84   85            197.9548              0.0000            197.9548
  157   99   85   86            194.4201              0.0000            194.4201
  158   99   98   83            193.1659              0.0000            193.1659
  159   99   83   84            250.9726              0.0000            250.9726
  160   99   89   98            -85.7447             -3.0997            -88.8445
                  41                  50
